# MemRadar Price Index: monthly price levels by segment
# Lines starting with # are notes, not data. pandas: read_csv(url, comment='#'). R: read.csv(url, comment.char='#'). DuckDB: a saved copy reads as is; reading from the URL needs SET force_download=true first. Spreadsheets show these lines as text rows above the data.
#
# WHAT THIS IS: one row per segment per month. median_price_usd is the median retail price across the products MemRadar tracked that month. median_usd_per_gb is the median of each product's price divided by its total capacity (a 2x16GB kit is 32GB). product_count is how many products the row is computed over.
#
# THESE ARE MONTHLY PRICE LEVELS, NOT A MEASURE OF CHANGE. A change computed between two rows of this file will NOT equal the MemRadar Price Index for the same period, and when measured in September 2026 it differed from the index by as much as 44 percentage points. The Price Index compares each product with itself; this file compares whichever products were tracked in each month. For how much prices changed over a period, cite the Price Index at memradar.com/price-index/
#
# SURVIVORSHIP: the tracked catalog was assembled in July 2026, so historical rows contain only products still sold in 2026. They describe those products, not the whole market as it stood at the time.
#
# METHOD: only real price observations are used; days a product had no offer are excluded. Each product contributes one value per month (the median of its daily prices), so products observed more often do not outweigh the rest. A segment's series begins at the first month from which it never falls below 10 products; use product_count to apply a stricter bar. The current month is excluded until it is complete. Full methodology: memradar.com/methodology/
#
# SEGMENTS: ddr5 and ddr4 are memory kits and modules; nvme_ssd and sata_ssd are solid state drives. A drive is classed as SATA first, so an M.2 SATA drive counts as sata_ssd.
#
# SOURCES: Amazon price history licensed from Keepa. These figures are medians computed by MemRadar from that history, not the raw licensed data. Newegg prices are not included: MemRadar records Newegg as a current price only and holds no Newegg history.
#
# Generated 2026-09-20. Regenerated daily.
# Source: MemRadar Memory Price Index, memradar.com/price-index/
segment,month,median_price_usd,median_usd_per_gb,product_count
ddr5,2022-06,271.10,6.9916,10
ddr5,2022-07,319.99,6.7344,11
ddr5,2022-08,238.66,6.5594,10
ddr5,2022-09,246.05,7.2984,16
ddr5,2022-10,257.49,7.3050,18
ddr5,2022-11,219.99,6.2025,19
ddr5,2022-12,202.33,6.1912,22
ddr5,2023-01,179.99,5.3070,26
ddr5,2023-02,157.49,4.8434,26
ddr5,2023-03,145.99,4.5934,29
ddr5,2023-04,139.99,4.2493,31
ddr5,2023-05,129.99,3.9452,31
ddr5,2023-06,119.99,3.5350,32
ddr5,2023-07,121.34,3.4373,38
ddr5,2023-08,113.26,3.3396,36
ddr5,2023-09,103.35,3.3072,30
ddr5,2023-10,113.41,3.2809,42
ddr5,2023-11,111.38,3.2888,34
ddr5,2023-12,115.99,3.3994,41
ddr5,2024-01,121.62,3.5936,35
ddr5,2024-02,123.61,3.5934,36
ddr5,2024-03,124.15,3.6205,42
ddr5,2024-04,119.43,3.5728,42
ddr5,2024-05,116.49,3.4606,46
ddr5,2024-06,115.00,3.5050,43
ddr5,2024-07,113.59,3.3983,42
ddr5,2024-08,102.57,3.2132,42
ddr5,2024-09,109.99,3.1881,47
ddr5,2024-10,109.03,3.2497,49
ddr5,2024-11,102.49,3.0931,45
ddr5,2024-12,112.49,3.2811,45
ddr5,2025-01,106.59,3.2184,48
ddr5,2025-02,99.99,3.0389,58
ddr5,2025-03,112.36,3.0584,50
ddr5,2025-04,111.99,3.1850,62
ddr5,2025-05,102.24,3.1248,54
ddr5,2025-06,114.33,3.3202,53
ddr5,2025-07,118.74,3.1559,54
ddr5,2025-08,119.99,3.4295,57
ddr5,2025-09,127.49,3.5507,62
ddr5,2025-10,164.99,4.7244,66
ddr5,2025-11,267.49,7.9545,64
ddr5,2025-12,438.99,11.8119,63
ddr5,2026-01,440.24,13.2652,62
ddr5,2026-02,499.99,13.7346,66
ddr5,2026-03,479.99,14.3438,69
ddr5,2026-04,472.35,14.4528,75
ddr5,2026-05,479.99,14.7028,74
ddr5,2026-06,477.48,14.7005,78
ddr5,2026-07,478.12,15.1559,84
ddr5,2026-08,498.49,15.7028,82
ddr4,2019-11,86.49,4.1630,14
ddr4,2019-12,90.24,4.3370,14
ddr4,2020-01,92.24,4.6223,12
ddr4,2020-02,94.74,4.6869,14
ddr4,2020-03,79.13,4.5619,15
ddr4,2020-04,84.90,5.0934,13
ddr4,2020-05,81.74,4.7055,12
ddr4,2020-06,85.99,4.4448,10
ddr4,2020-07,92.48,4.2184,15
ddr4,2020-08,89.99,4.0622,15
ddr4,2020-09,89.59,3.8275,16
ddr4,2020-10,80.85,3.8431,16
ddr4,2020-11,89.12,3.9528,16
ddr4,2020-12,99.82,4.3744,15
ddr4,2021-01,79.99,4.6247,21
ddr4,2021-02,106.44,5.2656,23
ddr4,2021-03,104.62,5.5152,24
ddr4,2021-04,101.47,5.8589,16
ddr4,2021-05,151.99,5.4453,19
ddr4,2021-06,124.45,5.2602,20
ddr4,2021-07,91.39,5.0230,20
ddr4,2021-08,83.25,4.8434,19
ddr4,2021-09,104.74,4.4763,22
ddr4,2021-10,86.29,4.4030,24
ddr4,2021-11,87.00,4.2031,23
ddr4,2021-12,76.12,4.0898,24
ddr4,2022-01,82.21,4.0692,18
ddr4,2022-02,80.49,4.2535,18
ddr4,2022-03,73.13,4.3744,17
ddr4,2022-04,107.49,4.0619,18
ddr4,2022-05,95.49,3.9059,21
ddr4,2022-06,81.49,3.7266,23
ddr4,2022-07,89.99,3.5156,21
ddr4,2022-08,78.99,3.3906,19
ddr4,2022-09,61.93,3.5211,18
ddr4,2022-10,67.30,3.3906,23
ddr4,2022-11,61.06,3.2344,25
ddr4,2022-12,54.75,3.0934,25
ddr4,2023-01,54.15,2.9531,23
ddr4,2023-02,64.49,2.5308,20
ddr4,2023-03,59.49,2.5933,24
ddr4,2023-04,49.06,2.3564,24
ddr4,2023-05,49.27,2.4511,26
ddr4,2023-06,48.67,2.4338,24
ddr4,2023-07,48.72,2.3953,25
ddr4,2023-08,48.57,2.2525,25
ddr4,2023-09,47.99,2.3719,23
ddr4,2023-10,48.56,2.3563,27
ddr4,2023-11,49.88,2.4019,25
ddr4,2023-12,47.43,2.3547,27
ddr4,2024-01,50.49,2.2809,17
ddr4,2024-02,54.49,2.2745,16
ddr4,2024-03,44.99,2.3281,15
ddr4,2024-04,53.99,2.2494,19
ddr4,2024-05,46.22,2.1247,19
ddr4,2024-06,47.41,2.3434,25
ddr4,2024-07,47.37,2.1325,19
ddr4,2024-08,46.23,2.1714,24
